pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,ESI
GJ 1132 b,GJ 1132,0,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,Published Confirmed,0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,1.62893,3.1e-05,-3.1e-05,0.0,,,,,1.16,0.11,-0.11,0.0,0.10348827,0.00981354,-0.00981354,0.0,1.62,0.55,-0.55,0.0,0.00509706,0.00173048,-0.00173048,0.0,Mass,0.0,,,0.0,,,,,409.0,11.0,-11.0,0.0,0.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,M4.5 V,3270.0,140.0,-140.0,0.0,0.207,0.016,-0.016,0.0,0.181,0.019,-0.019,0.0,-0.12,0.15,-0.15,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,12.613,0.007,-0.007,13.68,0.2,-0.2,8.322,0.027,-0.027,12.138,0.000387,-0.000387,2018-06-26,2015-11,2015-11-12,0.30458445212678603
GJ 414 A b,GJ 414 A,1,2,2,Radial Velocity,2021,W. M. Keck Observatory,Published Confirmed,0,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,50.8,0.1,-0.26,0.0,0.2324,0.0092,-0.0099,0.0,2.63,1.22,-0.85,0.0,0.23463288,0.10884111,-0.07583192,0.0,7.6,2.44,-2.19,0.0,0.02391215,0.00767706,-0.00689048,0.0,Msini,0.45,0.19,-0.22,0.0,,,,,308.6,33.5,-33.5,0.0,0.0,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,K7 V,4120.0,109.0,-109.0,0.0,0.68,0.14,-0.14,0.0,0.65,0.08,-0.08,0.0,0.24,0.1,-0.1,0.0,[Fe/H],4.65,0.04,-0.04,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m05.88s,167.7745044,+30d26m42.61s,30.4451688,11.8893,0.0067,-0.0067,8.31,0.03,-0.03,4.979,0.018,-0.018,7.72808,0.000672,-0.000672,2021-03-25,2021-02,2021-04-01,0.2693729961638043
K2-18 b,K2-18,0,1,2,Transit,2015,K2,Published Confirmed,0,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,32.940045,1e-05,-1e-05,0.0,0.1591,0.00046,-0.00047,0.0,2.61,0.087,-0.087,0.0,0.2328486,0.00776162,-0.00776162,0.0,8.63,1.35,-1.35,0.0,0.02715288,0.00424755,-0.00424755,0.0,Mass,,,,,1.005,0.084,-0.079,0.0,254.9,3.9,-3.9,0.0,0.0,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,,3457.0,39.0,-39.0,0.0,0.4445,0.0148,-0.0148,0.0,0.4951,0.0043,-0.0043,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,12.4154,0.000502,-0.000502,2020-03-26,2019-12,2020-04-02,0.2508604817286924
K2-18 b,K2-18,1,1,2,Transit,2015,K2,Published Confirmed,0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,32.939623,9.5e-05,-0.0001,0.0,0.1429,0.006,-0.0065,0.0,2.37,0.22,-0.22,0.0,0.21143724,0.01962709,-0.01962709,0.0,8.92,1.7,-1.6,0.0,0.02806532,0.00534877,-0.00503414,0.0,Mass,0.2,0.08,-0.08,0.0,,,,,284.0,15.0,-15.0,0.0,0.0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,,3457.0,39.0,-39.0,0.0,0.411,0.038,-0.038,0.0,0.359,0.047,-0.047,0.0,0.12,0.16,-0.16,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,0.07955,-0.07955,13.477,0.042,-0.042,8.899,0.019,-0.019,12.4154,0.000502,-0.000502,2019-03-18,2018-06,2019-03-21,0.4309542116080668
K2-3 c,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4e-05,-4.2e-05,0.0,0.1357,0.0023,-0.0022,0.0,1.582,0.057,-0.051,0.0,0.14113683,0.00508521,-0.00454992,0.0,2.68,0.85,-0.85,0.0,0.00843222,0.0026744,-0.0026744,0.0,Mass,0.048,0.073,-0.035,0.0,3.17,0.3,-0.3,0.0,371.8,3.8,-3.9,0.0,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.546,0.018,-0.016,0.0,0.549,0.029,-0.027,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.704,0.023,-0.026,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,0.29204449153594114
K2-3 c,K2-3,0,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,24.646582,3.9e-05,-3.9e-05,0.0,0.1414,0.0047,-0.0047,0.0,1.69,0.17,-0.17,0.0,0.15077196,0.01516641,-0.01516641,0.0,3.3,1.2,-1.2,0.0,0.01038296,0.00377562,-0.00377562,0.0,Mass,0.095,,,1.0,3.51,0.85,-0.73,0.0,381.0,21.0,-21.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835.0,70.0,-70.0,0.0,0.6,0.06,-0.06,0.0,0.62,0.06,-0.06,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-04-17,2023-04,2023-04-17,0.2582921007988512
K2-3 d,K2-3,0,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,44.556456,9.7e-05,-9.7e-05,0.0,0.2097,0.007,-0.007,0.0,1.62,0.18,-0.18,0.0,0.14452697,0.01605855,-0.01605855,0.0,1.6,,,1.0,0.00503416,,,1.0,Mass,0.097,,,1.0,1.6,0.38,-0.33,0.0,312.0,17.0,-17.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835.0,70.0,-70.0,0.0,0.6,0.06,-0.06,0.0,0.62,0.06,-0.06,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-04-17,2023-04,2023-04-17,0.3571211606365053
K2-3 d,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.00013,-0.00012,0.0,0.2014,0.0034,-0.0033,0.0,1.458,0.056,-0.051,0.0,0.13007427,0.00499599,-0.00454992,0.0,2.2,,,1.0,0.00692197,,,1.0,Mass,0.091,0.12,-0.064,0.0,1.44,0.14,-0.14,0.0,305.2,3.1,-3.2,0.0,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.546,0.018,-0.016,0.0,0.549,0.029,-0.027,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.704,0.023,-0.026,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,0.5732631813255169
Kepler-138 d,Kepler-138,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,23.0923,0.0006,-0.0006,0.0,0.1288,0.001,-0.001,0.0,1.51,0.04,-0.04,0.0,0.13471341,0.00356857,-0.00356857,0.0,2.1,0.6,-0.7,0.0,0.00660734,0.00188781,-0.00220245,0.0,Mass,0.01,0.005,-0.005,0.0,3.4,0.2,-0.2,0.0,345.0,7.0,-7.0,0.0,1.0,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,0.535,0.012,-0.012,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,2023-01-04,2022-12,2023-01-04,0.3631381927502117
Kepler-22 b,Kepler-22,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,289.863876,1.3e-05,-1.3e-05,0.0,0.812,0.011,-0.013,0.0,2.1,0.12,-0.12,0.0,0.18734977,0.0107057,-0.0107057,0.0,9.1,,,1.0,0.0286318,,,1.0,Mass,0.72,,,1.0,1.013,0.06,-0.06,0.0,279.0,4.0,-4.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5596.0,61.0,-61.0,0.0,0.869,0.011,-0.011,0.0,0.857,0.051,-0.043,0.0,-0.255,0.065,-0.065,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h16m52.13s,289.2172051,+47d53m02.91s,47.8841427,194.642,0.927,-0.918,11.751,0.057,-0.057,10.152,0.014,-0.014,11.6444,0.000239,-0.000239,2023-04-17,2023-04,2023-04-17,0.52145244139836
